id,symbol,timeframe,signal_type,entry_price,stop_loss,take_profit,confidence,timestamp,status
46,USDJPY,M5,BUY,146.463,146.32797649336757,146.6853916579828,0.75,2025-07-10 05:58:35.329336,not_executed
47,USDJPY,M15,BUY,146.463,146.26698831433643,146.78584277638703,0.75,2025-07-10 05:58:35.333883,not_executed
48,AAP,M15,BUY,58.32,57.7680096309298,59.22916060788033,0.75,2025-07-10 05:58:35.364164,not_executed
49,AAPL,M15,BUY,211.14,210.24909140477595,212.6073788627219,0.75,2025-07-10 05:58:35.440209,not_executed
50,XAGUSD,M15,BUY,36.691,36.51965514854029,36.973215049463064,0.75,2025-07-10 05:58:35.671580,not_executed
51,AMZN,M15,BUY,222.54,221.76014400489413,223.82446869782143,0.75,2025-07-10 05:58:35.701009,not_executed
52,XAGEUR,M15,BUY,31.344,31.195778182512754,31.588130052331937,0.75,2025-07-10 05:58:35.823580,not_executed
53,XAUUSD,M15,BUY,3323.34,3316.212724596753,3335.0790418406423,0.8,2025-07-10 05:58:35.867826,not_executed
54,EURJPY,M5,SELL,171.469,171.60570897334503,171.24383227919643,0.75,2025-07-10 05:58:36.016952,not_executed
55,SGDJPY,M5,BUY,114.373,114.28299990913013,114.52123544378568,0.75,2025-07-10 05:58:36.245228,not_executed
56,SGDJPY,M15,BUY,114.373,114.24936291821453,114.5766375464702,0.75,2025-07-10 05:58:36.249775,not_executed
57,ABSI,M15,BUY,2.83,2.781272703955873,2.910256722896209,0.75,2025-07-10 06:12:05.696257,not_executed
58,AMC,M15,BUY,2.94,2.901127399219807,3.0040254601085534,0.7,2025-07-10 06:12:05.881513,not_executed
59,ALE,M15,BUY,64.93,64.84344436680108,65.07256221938647,0.75,2025-07-10 06:12:05.959698,not_executed
60,HKDJPY,M5,BUY,18.652,18.63525224447198,18.679584538516742,0.75,2025-07-10 06:12:06.046987,not_executed
61,AES,M15,BUY,13.26,13.03816694302052,13.625372093848554,0.75,2025-07-10 06:12:06.249842,not_executed
62,AAPL,M5,BUY,211.14,210.65307778017143,211.94198953854112,0.75,2025-07-10 06:12:06.293060,not_executed
