id,signal_id,order_id,symbol,action,volume,price,sl,tp,comment,open_time,close_time,close_price,profit,status
1,1,,AMD,BUY,1.0,138.41,136.41,141.41,MrcashondoV2,2025-07-10T12:01:52.463706,,,,open
2,35,,XAUUSD,BUY,2.2599999999857463,3323.94,3317.2,3335.04,MrcashondoV2,2025-07-10T12:47:26.210454,,,,open
3,68,,XAGUSD,BUY,0.33,36.837,36.237,37.737,MrcashondoV2,2025-07-10T13:12:22.767220,,,,open
4,69,,XAGUSD,BUY,0.33,36.837,36.237,37.737,MrcashondoV2,2025-07-10T13:12:23.865136,,,,open
5,70,,XAUUSD,BUY,0.13,3325.84,3318.38,3338.13,MrcashondoV2,2025-07-10T13:12:24.951501,,,,open
6,86,,XAGUSD,BUY,0.33,36.692,36.092,37.592,MrcashondoV2,2025-07-10T13:23:40.711515,,,,open
7,88,,XAUUSD,BUY,0.19,3322.59,3317.26,3331.37,MrcashondoV2,2025-07-10T13:23:42.720687,,,,open
8,89,,XAUUSD,BUY,0.12,3322.59,3314.57,3335.8,MrcashondoV2,2025-07-10T13:23:43.802397,,,,open
9,102,,XAGUSD,BUY,0.33,36.816,36.216,37.716,MrcashondoV2,2025-07-10T13:38:59.580558,,,,open
10,103,,XAGUSD,BUY,0.33,36.816,36.216,37.716,MrcashondoV2,2025-07-10T13:39:00.662620,,,,open
11,105,,XAUUSD,BUY,0.2,3325.78,3320.82,3333.95,MrcashondoV2,2025-07-10T13:39:02.668934,,,,open
12,129,,XAGUSD,SELL,0.33,36.534,37.134,35.634,MrcashondoV2,2025-07-10T13:54:29.441403,,,,open
13,161,,XAGUSD,BUY,0.33,36.568,35.968,37.468,MrcashondoV2,2025-07-10T14:10:02.827478,,,,open
14,199,,XAGUSD,SELL,0.33,36.532,37.132,35.632,MrcashondoV2,2025-07-10T14:25:41.902169,,,,open
15,200,,XAUUSD,BUY,0.1,3316.78,3306.63,3333.49,MrcashondoV2,2025-07-10T14:25:43.329632,,,,open
16,224,,XAGUSD,BUY,0.33,36.606,36.006,37.506,MrcashondoV2,2025-07-10T14:41:10.108386,,,,open
17,229,,GBPJPY,SELL,0.02000000000000001,198.768,198.904,198.543,MrcashondoV2,2025-07-10T14:41:14.909334,,,,open
18,256,,NZDUSD,SELL,0.09,0.60036,0.60143,0.59859,MrcashondoV2,2025-07-10T14:56:43.999598,,,,open
19,257,,XAGUSD,BUY,0.33,36.619,36.019,37.519,MrcashondoV2,2025-07-10T14:56:45.080523,,,,open
20,258,,XAGUSD,BUY,0.33,36.619,36.019,37.519,MrcashondoV2,2025-07-10T14:56:46.168466,,,,open
21,263,,GBPJPY,SELL,0.02000000000000001,198.585,198.734,198.339,MrcashondoV2,2025-07-10T14:56:51.386646,,,,open
22,278,,NZDUSD,BUY,0.09,0.60111,0.6,0.60295,MrcashondoV2,2025-07-10T15:12:09.565068,,,,open
23,279,,XAGUSD,BUY,0.33,36.742,36.142,37.642,MrcashondoV2,2025-07-10T15:12:10.638885,,,,open
24,298,,XAGUSD,BUY,0.33,36.783,36.183,37.683,MrcashondoV2,2025-07-10T15:27:33.107242,,,,open
25,299,,XAUUSD,BUY,0.11,3320.94,3311.77,3336.05,MrcashondoV2,2025-07-10T15:27:34.207243,,,,open
26,329,,NZDUSD,BUY,0.1,0.60136,0.60032,0.60308,MrcashondoV2,2025-07-10T15:43:07.214977,,,,open
27,354,,NZDUSD,BUY,0.1,0.60182,0.60079,0.60351,MrcashondoV2,2025-07-10T15:58:34.482795,,,,open
28,355,,XAGUSD,BUY,0.33,36.845,36.245,37.745,MrcashondoV2,2025-07-10T15:58:35.559335,,,,open
29,371,,NZDUSD,BUY,0.1,0.60196,0.60096,0.60361,MrcashondoV2,2025-07-10T16:13:56.792767,,,,open
30,438,63682414,NZDUSD,BUY,0.1,0.60255,0.60155,0.60405,MrcashondoV2,2025-07-10T18:08:06.506419,,,,open
31,439,63682415,NZDUSD,BUY,0.1,0.60255,0.60155,0.60368,MrcashondoV2,2025-07-10T18:08:09.000455,,,,open
32,440,63682416,AUDCAD,BUY,0.14,0.89924,0.89824,0.9004,MrcashondoV2,2025-07-10T18:08:11.592173,,,,open
33,441,63682417,CADJPY,SELL,0.04000000000000003,106.973,107.078,106.799,MrcashondoV2,2025-07-10T18:08:14.116121,,,,open
34,442,63682419,EURUSD,SELL,0.1,1.16933,1.17033,1.16783,MrcashondoV2,2025-07-10T18:08:16.610516,,,,open
35,443,63682420,GBPUSD,SELL,0.1,1.35733,1.35833,1.35625,MrcashondoV2,2025-07-10T18:08:19.143170,,,,open
36,444,63682421,AUDUSD,BUY,0.1,0.65778,0.65678,0.65928,MrcashondoV2,2025-07-10T18:08:21.644308,,,,open
37,445,63682422,AUDUSD,BUY,0.1,0.65778,0.65678,0.65898,MrcashondoV2,2025-07-10T18:08:24.163767,,,,open
38,446,63682925,NZDUSD,BUY,0.1,0.60271,0.60171,0.60384,MrcashondoV2,2025-07-10T18:23:27.275014,,,,open
39,447,63682926,AUDCAD,BUY,0.14,0.89972,0.89872,0.90094,MrcashondoV2,2025-07-10T18:23:29.779163,,,,open
40,448,63682929,CADJPY,SELL,0.04,106.958,107.058,106.797,MrcashondoV2,2025-07-10T18:23:32.290038,,,,open
41,449,63682930,AUDUSD,BUY,0.1,0.65808,0.65708,0.65958,MrcashondoV2,2025-07-10T18:23:34.802909,,,,open
42,450,63682931,AUDUSD,BUY,0.1,0.65808,0.65708,0.6593,MrcashondoV2,2025-07-10T18:23:37.334477,,,,open
43,451,63682932,USDCHF,BUY,0.08,0.79718,0.79618,0.79849,MrcashondoV2,2025-07-10T18:23:39.871668,,,,open
44,452,63683652,CADJPY,BUY,0.04,106.991,106.891,107.148,MrcashondoV2,2025-07-10T18:38:45.111009,,,,open
45,453,63683656,EURUSD,SELL,0.1,1.16886,1.16986,1.16736,MrcashondoV2,2025-07-10T18:38:47.617980,,,,open
46,454,63683660,USDCHF,BUY,0.08,0.7972,0.7962,0.7987,MrcashondoV2,2025-07-10T18:38:50.153389,,,,open
47,455,63683907,AUDUSD,BUY,0.1,0.65826,0.65726,0.65976,MrcashondoV2,2025-07-10T18:47:59.080905,,,,open
48,456,63683908,AUDUSD,BUY,0.1,0.65826,0.65726,0.65934,MrcashondoV2,2025-07-10T18:48:01.642842,,,,open
49,457,63683909,NZDUSD,BUY,0.1,0.60283,0.60183,0.60433,MrcashondoV2,2025-07-10T18:48:04.151381,,,,open
50,458,63683910,NZDUSD,BUY,0.1,0.60283,0.60183,0.60384,MrcashondoV2,2025-07-10T18:48:06.653608,,,,open
51,459,63683911,USDCHF,BUY,0.08,0.79726,0.79626,0.79876,MrcashondoV2,2025-07-10T18:48:09.154680,,,,open
52,460,63683914,AUDCAD,BUY,0.14,0.89968,0.89868,0.90079,MrcashondoV2,2025-07-10T18:48:11.649606,,,,open
53,461,63683915,CADJPY,BUY,0.04,106.995,106.895,107.146,MrcashondoV2,2025-07-10T18:48:14.175631,,,,open
54,462,63684339,AUDUSD,BUY,0.1,0.65843,0.65743,0.65993,MrcashondoV2,2025-07-10T19:03:17.273911,,,,open
55,463,63684342,AUDUSD,BUY,0.1,0.65843,0.65743,0.65948,MrcashondoV2,2025-07-10T19:03:19.776277,,,,open
56,464,63684343,NZDUSD,BUY,0.1,0.60293,0.60193,0.60443,MrcashondoV2,2025-07-10T19:03:22.287940,,,,open
57,465,63684346,NZDUSD,BUY,0.1,0.60293,0.60193,0.60394,MrcashondoV2,2025-07-10T19:03:24.812739,,,,open
58,466,63684347,USDCHF,BUY,0.08,0.79713,0.79613,0.79863,MrcashondoV2,2025-07-10T19:03:27.315509,,,,open
59,467,63684348,AUDCAD,BUY,0.14,0.89996,0.89896,0.90111,MrcashondoV2,2025-07-10T19:03:29.824109,,,,open
60,468,63684350,CADJPY,BUY,0.04,106.987,106.887,107.143,MrcashondoV2,2025-07-10T19:03:32.417145,,,,open
61,469,63684351,GBPUSD,SELL,0.1,1.35764,1.35864,1.35614,MrcashondoV2,2025-07-10T19:03:34.926565,,,,open
