win_rate,profit_factor,avg_win,avg_loss,total_trades,total_wins,total_losses,timestamp
0.0,0.0,0.0,0.0,0,0,0,2025-07-14 12:49:39
0.0,0.0,0.0,0.0,0,0,0,2025-07-14 13:04:41
